"","V1","V2"
"1",0,1
"2",0,0
"3",1,0
"4",1,0
"5",1,3
"6",1,1
"7",0,0
"8",0,1
"9",1,0
"10",0,1
"11",0,0
"12",0,0
"13",2,0
"14",2,0
"15",3,0
"16",1,1
"17",1,0
"18",0,0
"19",0,0
"20",1,0
"21",1,1
"22",0,0
"23",1,0
"24",1,0
"25",0,0
"26",1,1
"27",0,0
"28",0,0
"29",3,0
"30",0,0
"31",0,0
"32",1,1
"33",0,0
"34",2,0
"35",0,1
"36",1,1
"37",0,1
"38",0,0
"39",1,0
"40",0,0
"41",1,2
"42",0,1
"43",1,1
"44",1,1
"45",0,0
"46",0,0
"47",3,2
"48",2,1
"49",1,2
"50",1,1
"51",0,0
"52",0,0
"53",0,0
"54",1,1
"55",0,0
"56",0,0
"57",0,0
"58",2,1
"59",0,0
"60",0,0
"61",1,0
"62",0,1
"63",0,0
"64",0,1
"65",1,0
"66",0,2
"67",0,0
"68",0,0
"69",0,0
"70",0,1
"71",1,0
"72",0,1
"73",2,0
"74",1,1
"75",0,0
"76",0,1
"77",0,0
"78",0,0
"79",1,0
"80",0,1
"81",0,0
"82",1,1
"83",1,0
"84",0,0
"85",0,0
"86",1,0
"87",2,3
"88",1,1
"89",0,1
"90",1,0
"91",0,0
"92",0,0
"93",0,0
"94",1,1
"95",0,1
"96",0,1
"97",0,0
"98",1,0
"99",1,0
"100",0,2
"101",0,0
"102",1,0
"103",0,0
"104",1,0
"105",2,0
"106",0,1
"107",0,0
"108",0,0
"109",0,1
"110",0,1
"111",0,1
"112",0,1
"113",1,0
"114",2,1
"115",1,1
"116",1,0
"117",0,0
"118",1,2
"119",1,2
"120",0,2
"121",0,1
"122",1,1
"123",0,0
"124",0,1
"125",0,0
"126",0,0
"127",0,1
"128",0,0
"129",0,0
"130",0,0
"131",0,0
"132",0,0
"133",0,0
"134",1,0
"135",0,0
"136",0,0
"137",0,0
"138",0,1
"139",1,0
"140",2,0
"141",1,0
"142",0,0
"143",2,0
"144",0,0
"145",2,0
"146",0,0
"147",0,1
"148",1,1
"149",0,1
"150",0,1
"151",1,0
"152",0,1
"153",0,3
"154",0,0
"155",1,0
"156",0,0
"157",1,0
"158",0,0
"159",1,0
"160",0,0
"161",0,0
"162",0,1
"163",1,0
"164",1,0
"165",1,1
"166",1,0
"167",2,1
"168",1,0
"169",1,1
"170",0,0
"171",1,0
"172",0,0
"173",0,0
"174",0,2
"175",0,1
"176",1,1
"177",0,0
"178",2,0
"179",0,1
"180",0,1
"181",0,0
"182",1,0
"183",0,0
"184",1,0
"185",0,1
"186",2,2
"187",0,1
"188",0,0
"189",1,0
"190",0,0
"191",3,0
"192",0,0
"193",0,0
"194",0,0
"195",1,0
"196",0,0
"197",0,0
"198",0,0
"199",0,0
"200",1,0
"201",1,2
"202",0,2
"203",1,1
"204",0,1
"205",0,0
"206",1,1
"207",1,0
"208",0,0
"209",0,0
"210",0,0
"211",0,2
"212",0,0
"213",1,1
"214",1,0
"215",1,1
"216",0,0
"217",0,0
"218",0,1
"219",0,0
"220",0,0
"221",1,0
"222",0,1
"223",0,1
"224",0,1
"225",0,0
"226",1,0
"227",1,0
"228",1,0
"229",1,0
"230",1,0
"231",1,0
"232",1,0
"233",1,1
"234",0,2
"235",1,0
"236",3,1
"237",1,0
"238",0,0
"239",3,1
"240",1,0
"241",1,1
"242",0,0
"243",1,2
"244",0,1
"245",0,1
"246",0,0
"247",0,0
"248",0,1
"249",0,0
"250",2,2
"251",0,0
"252",0,0
"253",1,1
"254",0,0
"255",1,0
"256",0,0
"257",0,0
"258",1,0
"259",0,0
"260",1,0
"261",0,0
"262",0,1
"263",0,0
"264",1,0
"265",1,0
"266",0,0
"267",3,1
"268",0,0
"269",2,0
"270",0,0
"271",0,0
"272",1,0
"273",0,1
"274",1,1
"275",1,1
"276",0,2
"277",0,0
"278",0,0
"279",0,1
"280",1,1
"281",1,0
"282",1,0
"283",0,0
"284",0,0
"285",0,0
"286",0,1
"287",0,0
"288",0,0
"289",0,0
"290",1,1
"291",2,0
"292",1,3
"293",0,0
"294",0,1
"295",0,0
"296",2,0
"297",0,0
"298",0,0
"299",0,0
"300",0,0
"301",0,0
"302",1,0
"303",0,1
"304",0,2
"305",0,0
"306",0,0
"307",0,0
"308",1,0
"309",0,0
"310",1,1
"311",1,0
"312",0,1
"313",0,1
"314",0,0
"315",0,2
"316",0,1
"317",1,1
"318",0,0
"319",0,0
"320",0,1
"321",1,2
"322",1,0
"323",0,1
"324",0,0
"325",0,0
"326",1,1
"327",1,0
"328",0,0
"329",2,0
"330",0,0
"331",1,0
"332",1,1
"333",2,0
"334",0,0
"335",0,0
"336",1,0
"337",2,0
"338",0,0
"339",0,0
"340",1,1
"341",1,0
"342",0,1
"343",1,0
"344",0,0
"345",0,0
"346",0,1
"347",1,0
"348",1,0
"349",0,1
"350",1,0
"351",0,0
"352",0,1
"353",0,0
"354",2,1
"355",0,3
"356",1,2
"357",0,1
"358",0,0
"359",0,1
"360",0,1
"361",0,1
"362",1,1
"363",0,0
"364",1,1
"365",0,0
"366",1,0
